prompt,completion
Generate a fantasy weapon of type: spear,"Name: Pike of Dreams
Damage Type: Arcane
Damage: 2d6
Properties: Vampiric, Berserker
Description: Wielded long ago by King Thoran, this spear ignites enemies on contact."
Generate a name for a blood trident with the following properties: blessed,Gloom Glaive of Dreams
Write a description for a weapon called 'Gloom Glaive of Dreams',Legend says this trident was made from the bones of a god. It heals the wielder with each strike.
Generate a fantasy weapon of type: trident,"Name: Gloom Glaive of Dreams
Damage Type: Blood
Damage: 1d12
Properties: Blessed
Description: Legend says this trident was made from the bones of a god. It heals the wielder with each strike."
"Generate a name for a poison dagger with the following properties: corrupted, berserker",Crossbow of ancient wisdom
Write a description for a weapon called 'Crossbow of ancient wisdom',This dagger hungers for the blood of enemies when under the light of the stars.
Generate a fantasy weapon of type: dagger,"Name: Crossbow of ancient wisdom
Damage Type: Poison
Damage: 2d8
Properties: Corrupted, Berserker
Description: This dagger hungers for the blood of enemies when under the light of the stars."
Generate a name for a wind rapier with the following properties: vorpal,The Aegis Saber
Write a description for a weapon called 'The Aegis Saber',This rapier shifts its form slightly when in the hands of royalty.
Generate a fantasy weapon of type: rapier,"Name: The Aegis Saber
Damage Type: Wind
Damage: 1d12
Properties: Vorpal
Description: This rapier shifts its form slightly when in the hands of royalty."
Generate a name for a arcane staff with the following properties: mythical,Mithril Rapier of Conquest
Write a description for a weapon called 'Mithril Rapier of Conquest',"Wielded long ago by Captain Silverhand, this staff can cut through any armor."
Generate a fantasy weapon of type: staff,"Name: Mithril Rapier of Conquest
Damage Type: Arcane
Damage: 2d8
Properties: Mythical
Description: Wielded long ago by Captain Silverhand, this staff can cut through any armor."
"Generate a name for a physical crossbow with the following properties: spectral, cursed, enchanted",Trident of demonic corruption
Write a description for a weapon called 'Trident of demonic corruption',"A crossbow of terrifying presence, causes foes to flee in terror upon its enemies."
Generate a fantasy weapon of type: crossbow,"Name: Trident of demonic corruption
Damage Type: Physical
Damage: 1d10
Properties: Spectral, Cursed, Enchanted
Description: A crossbow of terrifying presence, causes foes to flee in terror upon its enemies."
Generate a name for a void whip with the following properties: ,Falchion of Reckoning
Write a description for a weapon called 'Falchion of Reckoning',This whip hungers for the blood of enemies when during the heat of battle.
Generate a fantasy weapon of type: whip,"Name: Falchion of Reckoning
Damage Type: Void
Damage: 1d12
Properties: 
Description: This whip hungers for the blood of enemies when during the heat of battle."
Generate a name for a physical staff with the following properties: soulbound,Staff of unfathomable lightness
Write a description for a weapon called 'Staff of unfathomable lightness',"When facing demons or undead, this staff strikes with the force of lightning."
Generate a fantasy weapon of type: staff,"Name: Staff of unfathomable lightness
Damage Type: Physical
Damage: 3d8
Properties: Soulbound
Description: When facing demons or undead, this staff strikes with the force of lightning."
"Generate a name for a necrotic lance with the following properties: elemental, ancient, berserker",Hallowed Claymore of the Ancients
Write a description for a weapon called 'Hallowed Claymore of the Ancients',"When in the presence of magic, this lance ignites enemies on contact."
Generate a fantasy weapon of type: lance,"Name: Hallowed Claymore of the Ancients
Damage Type: Necrotic
Damage: 2d10
Properties: Elemental, Ancient, Berserker
Description: When in the presence of magic, this lance ignites enemies on contact."
Generate a name for a wind claymore with the following properties: ,Shadow Rapier
Write a description for a weapon called 'Shadow Rapier',"Said to have belonged to Emperor Valorian, this claymore grants visions of the future."
Generate a fantasy weapon of type: claymore,"Name: Shadow Rapier
Damage Type: Wind
Damage: 1d6
Properties: 
Description: Said to have belonged to Emperor Valorian, this claymore grants visions of the future."
Generate a name for a nature blade with the following properties: ,Halberd of unspeakable power
Write a description for a weapon called 'Halberd of unspeakable power',"the Last Dragon's favored blade, known to grows in power during the night."
Generate a fantasy weapon of type: blade,"Name: Halberd of unspeakable power
Damage Type: Nature
Damage: 1d6
Properties: 
Description: the Last Dragon's favored blade, known to grows in power during the night."
"Generate a name for a acid crossbow with the following properties: legendary, blessed, mythical",Blade of Conquest
Write a description for a weapon called 'Blade of Conquest',This crossbow vibrates in the presence of evil when held by a true hero.
Generate a fantasy weapon of type: crossbow,"Name: Blade of Conquest
Damage Type: Acid
Damage: 3d12
Properties: Legendary, Blessed, Mythical
Description: This crossbow vibrates in the presence of evil when held by a true hero."
Generate a name for a ice maul with the following properties: ,Dragon Pike
Write a description for a weapon called 'Dragon Pike',"the Demon Prince's favored maul, known to marks enemies for hunting. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: maul,"Name: Dragon Pike
Damage Type: Ice
Damage: 2d6
Properties: 
Description: the Demon Prince's favored maul, known to marks enemies for hunting. A thin layer of frost covers the weapon at all times."
"Generate a name for a psychic claymore with the following properties: ancient, enchanted, legendary",The Eldritch Hammer
Write a description for a weapon called 'The Eldritch Hammer',"A claymore of unfathomable lightness, howls with the voices of past victims upon its enemies."
Generate a fantasy weapon of type: claymore,"Name: The Eldritch Hammer
Damage Type: Psychic
Damage: 2d12
Properties: Ancient, Enchanted, Legendary
Description: A claymore of unfathomable lightness, howls with the voices of past victims upon its enemies."
Generate a name for a acid wand with the following properties: ancient,Zephyr Lance
Write a description for a weapon called 'Zephyr Lance',"When during a storm, this wand can cleave through stone."
Generate a fantasy weapon of type: wand,"Name: Zephyr Lance
Damage Type: Acid
Damage: 2d12
Properties: Ancient
Description: When during a storm, this wand can cleave through stone."
"Generate a name for a thunder staff with the following properties: ancient, runic",Hallowed Dagger of Conquest
Write a description for a weapon called 'Hallowed Dagger of Conquest',"A staff of exceptional sharpness, drains the magic from spellcasters upon its enemies."
Generate a fantasy weapon of type: staff,"Name: Hallowed Dagger of Conquest
Damage Type: Thunder
Damage: 1d12
Properties: Ancient, Runic
Description: A staff of exceptional sharpness, drains the magic from spellcasters upon its enemies."
Generate a name for a force longsword with the following properties: ,Greatsword of Judgment
Write a description for a weapon called 'Greatsword of Judgment',"When during the wielder's greatest need, this longsword protects against dark magic."
Generate a fantasy weapon of type: longsword,"Name: Greatsword of Judgment
Damage Type: Force
Damage: 3d12
Properties: 
Description: When during the wielder's greatest need, this longsword protects against dark magic."
"Generate a name for a radiant whip with the following properties: runic, corrupted, vorpal",Claymore of perfect weight
Write a description for a weapon called 'Claymore of perfect weight',"Wielded long ago by Archmage Vexus, this whip amplifies magical abilities."
Generate a fantasy weapon of type: whip,"Name: Claymore of perfect weight
Damage Type: Radiant
Damage: 1d10
Properties: Runic, Corrupted, Vorpal
Description: Wielded long ago by Archmage Vexus, this whip amplifies magical abilities."
Generate a name for a shadow sword with the following properties: ,The Dread Greatsword
Write a description for a weapon called 'The Dread Greatsword',"Lich King Morthus's favored sword, known to reveals invisible creatures. The weapon seems to absorb light from its surroundings."
Generate a fantasy weapon of type: sword,"Name: The Dread Greatsword
Damage Type: Shadow
Damage: 2d4
Properties: 
Description: Lich King Morthus's favored sword, known to reveals invisible creatures. The weapon seems to absorb light from its surroundings."
Generate a name for a ice pike with the following properties: ,Ancient Spear
Write a description for a weapon called 'Ancient Spear',This pike never requires sharpening when in the hands of royalty. A thin layer of frost covers the weapon at all times.
Generate a fantasy weapon of type: pike,"Name: Ancient Spear
Damage Type: Ice
Damage: 1d4
Properties: 
Description: This pike never requires sharpening when in the hands of royalty. A thin layer of frost covers the weapon at all times."
